"customer_id","recency_days","frequency","monetary"
CUS000094,91,8,148882000.00
CUS000338,91,6,73344000.00
CUS000644,91,3,47530000.00
CUS000637,91,3,31448500.00
CUS000112,91,3,40415500.00
CUS000450,91,6,65395000.00
CUS000801,91,5,57494500.00
CUS000508,91,5,41595000.00
CUS000963,91,5,67580500.00
CUS000172,91,6,60217500.00
CUS000745,91,6,74075000.00
CUS000605,91,1,8243000.00
CUS000105,91,5,52761500.00
CUS000459,91,8,116848000.00
CUS000753,91,4,53779500.00
CUS000394,91,3,19855500.00
CUS000876,91,3,16775000.00
CUS000210,91,4,56597500.00
CUS000041,91,8,67270000.00
CUS000359,91,4,16116500.00
CUS000754,91,7,109939000.00
CUS000160,91,2,34883000.00
CUS000138,91,4,49102000.00
CUS000591,92,7,118394000.00
CUS000132,92,7,89296000.00
CUS000148,92,8,130368000.00
CUS000182,92,5,46624000.00
CUS000683,92,5,65544500.00
CUS000467,92,4,37382000.00
CUS000488,92,6,46457500.00
CUS000788,92,2,6969500.00
CUS000970,92,4,34050000.00
CUS000218,93,7,89379000.00
CUS000811,93,4,58690500.00
CUS000872,93,4,22207000.00
CUS000469,93,5,54273500.00
CUS000627,93,2,19315500.00
CUS000183,93,5,52060000.00
CUS000760,93,5,64555000.00
CUS000759,93,4,70992500.00
CUS000058,93,5,59703500.00
CUS000892,93,2,13374000.00
CUS000266,93,4,30151500.00
CUS000979,93,3,15738000.00
CUS000544,93,3,23683500.00
CUS000828,93,9,115262500.00
CUS000886,93,5,65968500.00
CUS000057,93,4,68304000.00
CUS000315,93,4,53608000.00
CUS000277,93,3,32634500.00
CUS000758,93,5,55691500.00
CUS000490,93,3,31194500.00
CUS000513,93,7,134931000.00
CUS000095,93,8,76256000.00
CUS000139,93,2,9211000.00
CUS000968,93,3,36087000.00
CUS000379,93,4,31033500.00
CUS000087,94,3,80018500.00
CUS000583,94,6,96204000.00
CUS000610,94,2,19859500.00
CUS000696,94,6,93667500.00
CUS000803,94,5,27090000.00
CUS000493,94,2,15309000.00
CUS000708,94,2,13972500.00
CUS000285,94,7,79683500.00
CUS000092,94,6,85896500.00
CUS000858,94,3,19964000.00
CUS000502,94,2,20998500.00
CUS000398,94,5,48924000.00
CUS000603,94,3,34059000.00
CUS000215,94,3,18488500.00
CUS000324,94,6,78333500.00
CUS000188,94,5,52577500.00
CUS000926,94,6,87087500.00
CUS000668,94,2,34237000.00
CUS000135,94,4,82613000.00
CUS000326,95,5,96353000.00
CUS000864,95,8,103506000.00
CUS000621,95,5,123944500.00
CUS000643,95,5,51755000.00
CUS000543,95,6,92219500.00
CUS000485,95,6,56386500.00
CUS000674,95,4,68082500.00
CUS000029,95,6,75509000.00
CUS000986,95,5,59574500.00
CUS000217,95,2,41800000.00
CUS000144,95,6,50387500.00
CUS000098,95,3,24744500.00
CUS000575,95,11,148920000.00
CUS000978,95,6,63262000.00
CUS000362,95,5,100641000.00
CUS000478,95,7,67865000.00
CUS000710,95,4,45178000.00
CUS000165,96,6,103599500.00
CUS000350,96,6,96404500.00
CUS000576,96,5,46405500.00
CUS000510,96,4,42892500.00
CUS000022,96,7,67668500.00
CUS000363,96,6,56275000.00
CUS000860,96,4,56961500.00
CUS000456,96,3,33495500.00
CUS000772,96,5,39964000.00
CUS000919,96,3,27848000.00
CUS000327,96,5,42854500.00
CUS000666,96,8,98024500.00
CUS000782,96,3,47601500.00
CUS000797,96,5,67713000.00
CUS000131,96,4,40727000.00
CUS000519,96,2,7763000.00
CUS000965,96,6,51907000.00
CUS000935,97,5,56746500.00
CUS000230,97,4,94661500.00
CUS000517,97,7,106001500.00
CUS000463,97,6,64166000.00
CUS000821,97,3,34060000.00
CUS000786,97,12,127610000.00
CUS000525,97,8,90510000.00
CUS000151,97,6,48754000.00
CUS000521,97,6,83612500.00
CUS000281,97,5,37559000.00
CUS000941,97,4,48938500.00
CUS000831,97,8,113363000.00
CUS000600,97,4,47681000.00
CUS000261,97,8,104646000.00
CUS000572,97,5,88370000.00
CUS000329,97,5,71804000.00
CUS000728,97,4,52006000.00
CUS000028,97,3,47107000.00
CUS000896,97,3,45501000.00
CUS000018,97,5,107020000.00
CUS000121,97,6,74361000.00
CUS000958,97,5,92123500.00
CUS000486,97,7,130649500.00
CUS000325,97,7,70810500.00
CUS000386,98,4,18647000.00
CUS000297,98,2,58326000.00
CUS000010,98,4,76384500.00
CUS000307,98,5,42773000.00
CUS000023,98,2,12284000.00
CUS000284,98,4,41445000.00
CUS000996,98,5,54176000.00
CUS000834,98,3,28235000.00
CUS000888,98,2,24553500.00
CUS000906,98,4,55820000.00
CUS000774,98,3,22211500.00
CUS000034,98,6,103475000.00
CUS000499,98,6,100137000.00
CUS000818,98,3,17396000.00
CUS000483,98,4,45242500.00
CUS000957,98,5,88905000.00
CUS000384,98,4,55408000.00
CUS000952,98,3,21115000.00
CUS000991,98,3,27918000.00
CUS000846,98,5,104500000.00
CUS000743,98,4,32855000.00
CUS000819,98,6,84210500.00
CUS000037,98,5,55445500.00
CUS000145,98,7,90445500.00
CUS000586,98,4,27414500.00
CUS000808,98,4,62866000.00
CUS000380,98,1,13349500.00
CUS000118,98,4,55071000.00
CUS000220,98,7,76464000.00
CUS000407,98,3,14357500.00
CUS000123,99,5,48950000.00
CUS000900,99,4,40720500.00
CUS000592,99,5,74781000.00
CUS000445,99,3,55346000.00
CUS000936,99,6,83753000.00
CUS000397,99,3,20777000.00
CUS000618,99,4,34834500.00
CUS000253,99,5,47085000.00
CUS000054,99,5,68369000.00
CUS000399,99,6,72588500.00
CUS000757,99,8,105001000.00
CUS000893,99,6,81966500.00
CUS000930,99,8,80867500.00
CUS000024,99,6,63223500.00
CUS000699,99,7,103404000.00
CUS000125,100,3,55824000.00
CUS000252,100,3,54466500.00
CUS000169,100,6,87195000.00
CUS000205,100,2,26832500.00
CUS000052,100,5,60478000.00
CUS000470,100,4,58974500.00
CUS000684,100,2,34567000.00
CUS000528,100,7,79321000.00
CUS000030,100,5,64949500.00
CUS000724,100,4,37781000.00
CUS000688,100,3,44561000.00
CUS000178,100,6,70934000.00
CUS000274,100,3,59688500.00
CUS000596,100,7,80315000.00
CUS000770,100,3,27698000.00
CUS000992,100,1,16351500.00
CUS000766,100,1,7300000.00
CUS000255,100,4,42342500.00
CUS000134,100,7,111166000.00
CUS000216,101,1,22661500.00
CUS000927,101,3,26950000.00
CUS000491,101,2,50529000.00
CUS000001,101,8,86839000.00
CUS000374,101,8,98342000.00
CUS000143,101,3,23634000.00
CUS000507,101,2,7686000.00
CUS000387,101,5,57493000.00
CUS000016,101,4,63229000.00
CUS000248,101,3,51210500.00
CUS000019,101,3,11843000.00
CUS000060,101,4,88645500.00
CUS000648,101,3,57313500.00
CUS000439,102,5,87363500.00
CUS000852,102,8,120052500.00
CUS000741,102,3,26180000.00
CUS000994,102,5,80020000.00
CUS000730,102,7,133204500.00
CUS000358,102,3,34596500.00
CUS000581,102,9,116220000.00
CUS000249,102,2,10543500.00
CUS000213,102,2,58258500.00
CUS000784,102,3,6959500.00
CUS000804,102,5,62627500.00
CUS000100,102,2,9758500.00
CUS000822,103,8,87880500.00
CUS000867,103,5,66294500.00
CUS000967,103,2,22122000.00
CUS000006,103,3,20019500.00
CUS000514,103,4,44373000.00
CUS000431,103,3,41836500.00
CUS000244,103,6,50150000.00
CUS000738,103,5,40975500.00
CUS000698,103,6,64992500.00
CUS000623,103,2,12979000.00
CUS000995,103,5,41198000.00
CUS000401,103,3,59638500.00
CUS000540,103,3,49337500.00
CUS000286,103,6,118868500.00
CUS000524,103,4,54781500.00
CUS000890,103,7,90690000.00
CUS000124,104,5,35133000.00
CUS000883,104,4,13753000.00
CUS000645,104,6,74426500.00
CUS000602,104,5,37710000.00
CUS000718,104,5,82124500.00
CUS000940,104,5,87132500.00
CUS000912,104,3,25222500.00
CUS000778,104,4,37443500.00
CUS000429,104,7,60122500.00
CUS000814,104,5,89704500.00
CUS000211,104,7,71784000.00
CUS000943,104,3,7516500.00
CUS000355,104,6,63501500.00
CUS000036,104,5,53574000.00
CUS000680,104,2,10009000.00
CUS000203,104,6,83924000.00
CUS000235,104,4,55004000.00
CUS000352,104,2,49975500.00
CUS000438,104,5,74346000.00
CUS000667,104,3,20701500.00
CUS000260,105,5,84253000.00
CUS000895,105,5,65253500.00
CUS000168,105,5,60456000.00
CUS000529,105,3,25541000.00
CUS000303,105,5,84528500.00
CUS000577,105,4,48116000.00
CUS000107,105,5,40855500.00
CUS000802,105,4,30362500.00
CUS000119,105,7,78052500.00
CUS000612,105,6,62912500.00
CUS000464,105,7,88473000.00
CUS000560,105,5,61806000.00
CUS000242,105,5,52797000.00
CUS000013,105,5,85871000.00
CUS000512,105,8,78952000.00
CUS000511,106,2,13089500.00
CUS000356,106,2,15920000.00
CUS000678,106,3,7878000.00
CUS000185,106,6,84734500.00
CUS000451,106,7,70638500.00
CUS000476,106,7,77819500.00
CUS000700,106,4,25413500.00
CUS000080,106,3,33444500.00
CUS000292,106,8,70787000.00
CUS000641,106,4,38009500.00
CUS000390,106,4,55755500.00
CUS000422,106,10,114106500.00
CUS000025,106,5,40027000.00
CUS000474,106,4,60197000.00
CUS000089,106,7,74723000.00
CUS000723,106,6,83430000.00
CUS000433,107,3,31396000.00
CUS000748,107,5,37697500.00
CUS000346,107,4,15346000.00
CUS000631,107,6,69963500.00
CUS000776,107,2,13206000.00
CUS000752,107,4,59732500.00
CUS000305,107,9,128382500.00
CUS000885,108,9,97282500.00
CUS000198,108,5,66469500.00
CUS000657,108,3,33492500.00
CUS000027,108,7,92066000.00
CUS000763,108,6,75485500.00
CUS000894,108,4,32380500.00
CUS000487,108,4,42742500.00
CUS000953,108,2,19569000.00
CUS000640,108,6,92746500.00
CUS000897,108,3,45828000.00
CUS000795,108,3,19578000.00
CUS000815,109,3,28584500.00
CUS001000,109,2,30812000.00
CUS000658,109,4,33257000.00
CUS000742,109,5,68771500.00
CUS000703,109,4,56563500.00
CUS000200,109,3,50017000.00
CUS000065,109,2,13993500.00
CUS000180,109,5,50429000.00
CUS000925,109,5,61032000.00
CUS000280,109,4,65692000.00
CUS000264,109,4,42160000.00
CUS000047,109,3,20883500.00
CUS000081,109,4,56520500.00
CUS000922,110,6,78811000.00
CUS000206,110,7,114300000.00
CUS000186,110,3,31746500.00
CUS000082,110,7,94892000.00
CUS000344,110,3,29698500.00
CUS000506,110,6,66052500.00
CUS000987,110,2,26710000.00
CUS000531,110,9,84969500.00
CUS000333,110,7,49465000.00
CUS000928,110,4,40892000.00
CUS000279,111,2,22244000.00
CUS000653,111,3,42380500.00
CUS000443,111,2,47431500.00
CUS000339,111,4,57875500.00
CUS000761,111,4,40808000.00
CUS000898,111,6,77529500.00
CUS000580,111,4,34742000.00
CUS000449,111,4,25256500.00
CUS000370,112,2,50030000.00
CUS000734,112,2,50025500.00
CUS000042,112,7,97633500.00
CUS000691,112,3,50449500.00
CUS000426,112,5,51274000.00
CUS000624,112,1,16580500.00
CUS000522,112,3,60102000.00
CUS000447,112,5,80175500.00
CUS000332,112,6,66115000.00
CUS000687,112,4,27491000.00
CUS000881,112,1,30297500.00
CUS000882,112,3,41366000.00
CUS000856,112,5,37722500.00
CUS000642,112,5,59639500.00
CUS000245,112,4,55669000.00
CUS000791,112,3,32442000.00
CUS000308,112,4,74682000.00
CUS000990,112,2,13564000.00
CUS000530,112,2,13850000.00
CUS000597,113,4,42769000.00
CUS000704,113,6,67921000.00
CUS000414,113,4,54377000.00
CUS000109,113,4,51086000.00
CUS000382,113,2,31276500.00
CUS000833,113,3,43630500.00
CUS000155,113,7,94381000.00
CUS000916,113,4,43938000.00
CUS000650,113,2,18670500.00
CUS000955,113,2,27503000.00
CUS000170,113,4,35874500.00
CUS000038,113,7,59478500.00
CUS000351,114,2,26605000.00
CUS000654,114,3,25084500.00
CUS000403,114,4,72717500.00
CUS000672,114,4,30422000.00
CUS000157,114,5,72409500.00
CUS000536,114,2,8290000.00
CUS000423,114,2,15431500.00
CUS000589,114,7,76008500.00
CUS000855,114,5,41424500.00
CUS000294,114,2,21425500.00
CUS000311,115,4,51452000.00
CUS000273,115,2,25992500.00
CUS000468,115,2,30389500.00
CUS000836,115,8,68596000.00
CUS000096,115,3,23071000.00
CUS000951,115,4,42423500.00
CUS000523,115,5,71226000.00
CUS000843,116,1,3393000.00
CUS000465,116,4,44659500.00
CUS000557,116,4,34286000.00
CUS000015,116,3,51498000.00
CUS000799,116,3,30336500.00
CUS000316,116,2,30536000.00
CUS000197,116,3,63503000.00
CUS000719,116,2,23473500.00
CUS000676,116,3,38628000.00
CUS000149,116,5,110677500.00
CUS000812,116,2,43472500.00
CUS000345,116,1,20791500.00
CUS000064,116,3,38408500.00
CUS000984,117,3,43031500.00
CUS000475,117,8,164104000.00
CUS000635,117,4,52471500.00
CUS000904,117,5,78961500.00
CUS000538,117,4,73160000.00
CUS000800,117,3,52998500.00
CUS000460,117,6,78846000.00
CUS000224,117,3,42353000.00
CUS000939,117,7,80594500.00
CUS000711,117,3,44971500.00
CUS000877,118,4,23644500.00
CUS000891,118,6,85538500.00
CUS000518,118,1,10910000.00
CUS000298,118,4,55186000.00
CUS000505,118,6,75054000.00
CUS000781,118,2,29616000.00
CUS000604,118,2,4636000.00
CUS000773,118,3,29842500.00
CUS000227,118,3,69430500.00
CUS000551,118,5,73662500.00
CUS000765,118,5,64676000.00
CUS000662,118,3,48471000.00
CUS000078,118,3,25377500.00
CUS000671,118,4,80418500.00
CUS000472,118,6,54678500.00
CUS000980,119,3,26504500.00
CUS000026,119,5,66220500.00
CUS000428,119,4,43053000.00
CUS000341,119,5,62962000.00
CUS000368,119,2,29055500.00
CUS000361,119,2,36182000.00
CUS000071,119,1,12347500.00
CUS000137,119,3,31066500.00
CUS000692,119,3,43240500.00
CUS000189,119,6,79293000.00
CUS000707,120,5,66046500.00
CUS000689,120,4,48915000.00
CUS000440,120,4,45894500.00
CUS000496,120,5,90552000.00
CUS000424,120,4,35136000.00
CUS000269,120,2,28203500.00
CUS000847,120,2,30239500.00
CUS000300,120,2,28981000.00
CUS000686,120,3,29810000.00
CUS000907,120,3,24874000.00
CUS000201,120,2,16980500.00
CUS000191,120,2,23421000.00
CUS000736,120,10,173654000.00
CUS000091,121,4,57159000.00
CUS000999,121,8,89078500.00
CUS000495,121,6,95981500.00
CUS000620,121,6,64544500.00
CUS000845,121,2,29259000.00
CUS000909,121,3,17996000.00
CUS000682,121,4,30882500.00
CUS000035,121,3,24593000.00
CUS000381,121,4,26257500.00
CUS000617,121,6,88380000.00
CUS000574,122,3,38229000.00
CUS000383,122,4,24364500.00
CUS000276,122,9,137605500.00
CUS000526,122,4,51230000.00
CUS000062,122,3,65854000.00
CUS000789,122,6,74250000.00
CUS000076,122,3,79344000.00
CUS000902,122,7,123497000.00
CUS000177,123,2,11181500.00
CUS000677,123,3,17712000.00
CUS000046,123,3,74211000.00
CUS000947,123,3,34149000.00
CUS000827,123,4,52043500.00
CUS000566,124,4,35420500.00
CUS000136,124,3,28376500.00
CUS000632,124,2,26190000.00
CUS000405,124,1,14137000.00
CUS000067,124,4,53450500.00
CUS000934,124,2,34811500.00
CUS000823,124,3,21641000.00
CUS000622,124,3,37463000.00
CUS000246,124,3,23760000.00
CUS000569,124,4,37561000.00
CUS000737,125,5,53660000.00
CUS000458,125,3,34322500.00
CUS000448,125,1,13325000.00
CUS000547,125,4,38123500.00
CUS000005,125,5,82329000.00
CUS000317,125,5,61330500.00
CUS000961,125,5,49460500.00
CUS000257,125,3,31249000.00
CUS000796,125,8,110051000.00
CUS000304,125,10,150294000.00
CUS000404,125,6,86931000.00
CUS000194,125,3,34213000.00
CUS000866,126,4,26535500.00
CUS000914,126,8,40902500.00
CUS000701,126,4,26415000.00
CUS000239,126,3,39165000.00
CUS000661,126,3,58155500.00
CUS000343,126,1,551000.00
CUS000567,126,2,21029000.00
CUS000140,126,2,17063500.00
CUS000159,126,6,56275000.00
CUS000988,127,6,62953000.00
CUS000299,127,3,25885000.00
CUS000938,127,3,58260000.00
CUS000367,127,3,51826000.00
CUS000805,127,6,82153500.00
CUS000862,127,5,57450000.00
CUS000533,127,4,56949500.00
CUS000031,128,5,69008000.00
CUS000709,128,2,14973000.00
CUS000053,128,3,31605000.00
CUS000652,128,5,53526500.00
CUS000783,128,4,64884500.00
CUS000142,128,4,48084000.00
CUS000646,128,9,150469500.00
CUS000314,128,5,72709500.00
CUS000954,128,4,48703000.00
CUS000830,129,4,76640000.00
CUS000740,129,4,57359000.00
CUS000184,129,3,54541500.00
CUS000749,129,3,28904500.00
CUS000364,129,5,62916500.00
CUS000976,129,2,29621500.00
CUS000173,129,1,17758500.00
CUS000756,129,3,20374500.00
CUS000051,129,2,25838500.00
CUS000074,129,2,19963500.00
CUS000767,129,2,19844500.00
CUS000419,130,3,30581000.00
CUS000913,130,2,20649000.00
CUS000628,131,2,23387000.00
CUS000365,131,5,68748500.00
CUS000066,131,5,63410000.00
CUS000113,131,5,68382000.00
CUS000859,131,4,44860500.00
CUS000402,131,5,51133500.00
CUS000020,131,2,27283500.00
CUS000731,131,4,31147000.00
CUS000090,132,5,78840500.00
CUS000714,132,4,72173500.00
CUS000410,133,4,48230500.00
CUS000997,133,2,33050500.00
CUS000664,133,6,76743000.00
CUS000050,133,2,33894500.00
CUS000726,133,4,59146500.00
CUS000237,133,2,35175500.00
CUS000221,133,3,32685500.00
CUS000520,133,1,12828500.00
CUS000717,133,2,19695500.00
CUS000436,134,1,6490500.00
CUS000263,134,8,119667000.00
CUS000556,134,2,38918000.00
CUS000319,134,2,13808500.00
CUS000614,134,2,27603000.00
CUS000746,134,4,51927500.00
CUS000565,134,3,54103000.00
CUS000956,134,3,54326000.00
CUS000993,135,5,55630000.00
CUS000061,135,6,56554000.00
CUS000901,135,3,42540000.00
CUS000330,136,5,69764000.00
CUS000334,136,5,59220000.00
CUS000103,136,2,24411500.00
CUS000002,136,8,95212000.00
CUS000751,136,3,59758000.00
CUS000969,137,4,38663000.00
CUS000764,137,8,107997000.00
CUS000962,137,1,25553000.00
CUS000798,137,5,52210500.00
CUS000585,137,2,31404500.00
CUS000679,137,2,7360000.00
CUS000870,137,5,84061500.00
CUS000175,138,5,56993000.00
CUS000865,138,3,45268000.00
CUS000829,138,2,12417500.00
CUS000861,138,6,73548500.00
CUS000354,138,3,40893000.00
CUS000099,138,3,30243000.00
CUS000920,138,6,143088000.00
CUS000729,139,4,39105000.00
CUS000241,139,6,78458500.00
CUS000291,139,3,42375000.00
CUS000011,139,4,40587500.00
CUS000903,139,4,35643500.00
CUS000497,139,2,19496000.00
CUS000588,139,3,34607000.00
CUS000337,139,4,29181000.00
CUS000158,140,5,39310000.00
CUS000128,140,2,28988000.00
CUS000675,140,7,81582500.00
CUS000608,140,5,64355000.00
CUS000779,141,3,50196000.00
CUS000093,141,3,33005000.00
CUS000655,141,3,49916000.00
CUS000832,141,3,27761500.00
CUS000693,142,6,54812500.00
CUS000209,142,2,12576000.00
CUS000910,142,3,32232000.00
CUS000694,142,1,3723000.00
CUS000411,142,4,44375000.00
CUS000550,142,6,93462500.00
CUS000921,142,2,12392000.00
CUS000929,142,1,9148000.00
CUS000079,142,3,50146500.00
CUS000190,143,6,48368500.00
CUS000409,143,2,23470500.00
CUS000153,143,3,41831000.00
CUS000848,143,4,77045500.00
CUS000985,143,7,82252500.00
CUS000116,143,5,73136000.00
CUS000393,143,4,62691500.00
CUS000570,144,4,54373500.00
CUS000844,144,6,58989000.00
CUS000868,144,4,41194000.00
CUS000073,144,1,19043500.00
CUS000636,144,4,47907500.00
CUS000293,144,3,35399000.00
CUS000721,144,3,29360500.00
CUS000722,144,4,72084000.00
CUS000762,144,3,43756500.00
CUS000110,145,4,80980500.00
CUS000973,145,4,39582500.00
CUS000863,145,2,19700000.00
CUS000290,145,7,118236500.00
CUS000498,145,4,46189500.00
CUS000430,145,3,27799000.00
CUS000413,145,4,58519000.00
CUS000850,146,5,49935500.00
CUS000884,146,1,552500.00
CUS000853,147,4,20007000.00
CUS000607,147,3,57918000.00
CUS000348,147,3,39429000.00
CUS000977,147,4,34886000.00
CUS000944,148,4,60656500.00
CUS000606,148,4,66634000.00
CUS000072,148,6,93148000.00
CUS000212,148,1,10951000.00
CUS000108,148,6,76549500.00
CUS000032,148,4,47159500.00
CUS000785,148,2,34981000.00
CUS000639,149,4,31855000.00
CUS000584,149,4,44281000.00
CUS000446,149,3,31358000.00
CUS000130,150,3,22143500.00
CUS000702,150,2,13564500.00
CUS000744,150,7,80801000.00
CUS000971,150,1,10929000.00
CUS000552,150,5,93610000.00
CUS000234,150,2,16789500.00
CUS000542,150,3,53184500.00
CUS000133,150,3,56688000.00
CUS000395,151,3,25656500.00
CUS000412,151,5,37115000.00
CUS000069,151,7,63424500.00
CUS000613,151,3,31033000.00
CUS000453,152,5,70206500.00
CUS000466,152,2,22840000.00
CUS000147,152,4,53649500.00
CUS000539,152,3,78750000.00
CUS000548,152,2,31826500.00
CUS000106,153,4,58531000.00
CUS000932,153,3,24588000.00
CUS000455,153,4,16446000.00
CUS000070,153,3,44990000.00
CUS000685,153,1,9435000.00
CUS000373,153,2,13304000.00
CUS000816,154,5,58884500.00
CUS000366,154,4,76674500.00
CUS000615,154,5,41077500.00
CUS000835,155,4,56727500.00
CUS000911,155,3,22095500.00
CUS000750,155,4,18438500.00
CUS000942,155,4,62099000.00
CUS000207,156,3,25563000.00
CUS000199,156,4,51533500.00
CUS000727,156,4,47103500.00
CUS000187,157,5,90264500.00
CUS000302,157,5,28714000.00
CUS000809,157,3,18989000.00
CUS000007,157,2,26072000.00
CUS000473,158,3,41360000.00
CUS000322,158,4,66292500.00
CUS000310,158,2,35771500.00
CUS000619,158,3,36162000.00
CUS000706,158,6,91996000.00
CUS000122,158,1,11157500.00
CUS000003,158,3,37051500.00
CUS000975,159,2,24022500.00
CUS000045,159,4,19985000.00
CUS000669,159,4,35175500.00
CUS000695,159,2,18991000.00
CUS000561,159,5,38722500.00
CUS000229,160,5,76387000.00
CUS000272,160,2,19473500.00
CUS000321,160,3,15882500.00
CUS000537,160,2,37327000.00
CUS000320,160,5,70120500.00
CUS000454,160,3,16801500.00
CUS000219,160,7,84424000.00
CUS000712,161,5,35287500.00
CUS000265,161,3,55888000.00
CUS000840,161,5,94926000.00
CUS000735,161,4,44309000.00
CUS000077,161,1,18244000.00
CUS000755,161,4,37134500.00
CUS000357,162,3,16314500.00
CUS000283,162,2,30242500.00
CUS000663,162,3,31915000.00
CUS000915,162,5,54039500.00
CUS000055,162,6,51271500.00
CUS000633,163,3,34583500.00
CUS000981,163,3,47579500.00
CUS000638,163,5,71160000.00
CUS000563,163,1,15537000.00
CUS000887,163,3,70972000.00
CUS000960,163,6,74933500.00
CUS000878,164,6,42621000.00
CUS000396,164,4,85842000.00
CUS000021,164,2,27209500.00
CUS000590,164,7,55068000.00
CUS000747,164,3,30022000.00
CUS000875,165,4,20321500.00
CUS000659,165,4,46984000.00
CUS000295,165,3,36209000.00
CUS000461,165,3,33728000.00
CUS000432,166,2,13464000.00
CUS000681,167,4,51006500.00
CUS000222,167,4,26722000.00
CUS000179,167,3,48842500.00
CUS000810,167,6,59143000.00
CUS000972,167,4,46003500.00
CUS000923,167,2,22443000.00
CUS000982,167,1,14548000.00
CUS000378,168,3,14674500.00
CUS000268,168,4,65894000.00
CUS000111,168,7,49993500.00
CUS000854,169,4,55482500.00
CUS000181,169,2,34805000.00
CUS000558,169,7,94407000.00
CUS000964,170,4,53589000.00
CUS000656,170,4,80287000.00
CUS000790,170,2,20918000.00
CUS000017,170,3,54933500.00
CUS000270,170,3,40869500.00
CUS000127,170,2,28740500.00
CUS000278,171,7,62819500.00
CUS000989,171,4,76843500.00
CUS000950,171,2,2613500.00
CUS000296,171,1,10020000.00
CUS000223,171,4,47813500.00
CUS000236,171,4,47108500.00
CUS000238,172,3,27390000.00
CUS000075,172,2,40042000.00
CUS000208,172,3,22116500.00
CUS000043,172,1,3621000.00
CUS000323,172,3,40847500.00
CUS000873,172,3,49873500.00
CUS000601,173,5,67439000.00
CUS000369,173,3,41912500.00
CUS000120,173,3,60322500.00
CUS000660,173,4,54878000.00
CUS000716,174,3,32053500.00
CUS000040,174,1,6383000.00
CUS000161,174,4,30806000.00
CUS000851,175,3,47103500.00
CUS000477,175,3,28529500.00
CUS000166,175,4,46899000.00
CUS000879,176,4,54008000.00
CUS000516,176,1,13304000.00
CUS000391,176,4,52280500.00
CUS000085,176,2,16836000.00
CUS000824,178,2,14817500.00
CUS000587,178,2,43983000.00
CUS000869,178,2,21402500.00
CUS000933,178,1,8490000.00
CUS000372,178,4,37818500.00
CUS000258,179,2,19633500.00
CUS000441,179,6,63240000.00
CUS000534,179,3,23577000.00
CUS000527,180,2,5179500.00
CUS000598,180,3,31924000.00
CUS000163,180,4,25788000.00
CUS000546,181,3,29157500.00
CUS000690,182,3,49692500.00
CUS000115,182,2,25764500.00
CUS000593,182,2,30982000.00
CUS000114,183,6,65910500.00
CUS000418,183,5,75661500.00
CUS000415,183,5,76216000.00
CUS000998,185,3,49542000.00
CUS000874,185,7,89450500.00
CUS000949,186,2,14234000.00
